hours,county,households,volume,site,barcode,status
0,Turkana,1000,0,13884664,7314,3
0,Turkana,1000,0,5691571,6008,3
0,Turkana,16000,0,7668335,5070,3
0,Turkana,1000,0,7668328,5074,3
0,Turkana,1000,0,5691533,6025,3
0,Turkana,250,0,5691588,6002,3
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
0,Turkana,500,0,5691849,6063,3
0,Turkana,1000,0,5691629,7173,3
0,Turkana,1000,0,5691698,6097,3
0,Turkana,1000,0,5691540,6016,3
0,Turkana,150,0,5691760,6074,3
0,Turkana,1000,0,5691928,7514,3
0,Turkana,10000,0,5691526,6013,3
0,Turkana,7000,0,10388457,7186,3
0,Turkana,1000,0,10388433,7515,3
0,Turkana,1600,0,480613,7165,3
0,Turkana,1000,0,480620,7509,3
0,Turkana,1000,0,480699,7187,3
0,Turkana,15000,0,480606,7194,3
0,Turkana,2000,0,28543943,7511,3
0,Turkana,1200,0,28543936,7275,3
0,Turkana,650,0,28543950,7199,3
0,Turkana,500,0,28543967,7177,3
0,Turkana,100,0,28543974,7293,3
0,Turkana,10,0,28543998,7176,3
11.33,Turkana,1000,113.3,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
4,Turkana,16000,308,7668335,5070,1
12,Turkana,1000,120,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
0,Turkana,250,0,5691588,6002,3
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
19.33,Turkana,500,386.6,5691849,6063,1
8,Turkana,1000,80,5691629,7173,1
10,Turkana,1000,100,5691698,6097,1
12.67,Turkana,1000,126.7,5691540,6016,1
10,Turkana,150,150,5691760,6074,1
17.33,Turkana,1000,173.3,5691928,7514,1
0,Turkana,10000,0,5691526,6013,3
0,Turkana,7000,0,10388457,7186,3
18,Turkana,1000,180,10388433,7515,1
22.67,Turkana,1600,317.38,480613,7165,1
6.67,Turkana,1000,66.7,480620,7509,1
2,Turkana,1000,20,480699,7187,1
20,Turkana,15000,1180,480606,7194,1
0,Turkana,2000,0,28543943,7511,3
0,Turkana,1200,0,28543936,7275,3
11.33,Turkana,650,90.64,28543950,7199,1
8,Turkana,500,96,28543967,7177,1
0,Turkana,100,0,28543974,7293,3
1.33,Turkana,10,29.26,28543998,7176,1
10.67,Turkana,1000,106.7,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
11.33,Turkana,16000,872.41,7668335,5070,1
11.33,Turkana,1000,113.3,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
0,Turkana,250,0,5691588,6002,3
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
22.67,Turkana,500,453.4,5691849,6063,1
8,Turkana,1000,80,5691629,7173,1
9.33,Turkana,1000,93.3,5691698,6097,1
12.67,Turkana,1000,126.7,5691540,6016,1
8,Turkana,150,120,5691760,6074,1
12.67,Turkana,1000,126.7,5691928,7514,1
0,Turkana,10000,0,5691526,6013,3
0,Turkana,7000,0,10388457,7186,3
22.67,Turkana,1000,226.7,10388433,7515,1
22.67,Turkana,1600,317.38,480613,7165,1
8.67,Turkana,1000,86.7,480620,7509,1
7.33,Turkana,1000,73.3,480699,7187,1
19.33,Turkana,15000,1140.47,480606,7194,1
0,Turkana,2000,0,28543943,7511,3
0,Turkana,1200,0,28543936,7275,3
10.67,Turkana,650,85.36,28543950,7199,1
9.33,Turkana,500,111.96,28543967,7177,1
0,Turkana,100,0,28543974,7293,3
0,Turkana,10,0,28543998,7176,3
10,Turkana,1000,100,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
10.67,Turkana,16000,821.59,7668335,5070,1
12.67,Turkana,1000,126.7,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
0,Turkana,250,0,5691588,6002,3
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
22.67,Turkana,500,453.4,5691849,6063,1
8,Turkana,1000,80,5691629,7173,1
9.33,Turkana,1000,93.3,5691698,6097,1
12.67,Turkana,1000,126.7,5691540,6016,1
8,Turkana,150,120,5691760,6074,1
20,Turkana,1000,200,5691928,7514,1
0,Turkana,10000,0,5691526,6013,3
0,Turkana,7000,0,10388457,7186,3
22,Turkana,1000,220,10388433,7515,1
22.67,Turkana,1600,317.38,480613,7165,1
8.67,Turkana,1000,86.7,480620,7509,1
6.67,Turkana,1000,66.7,480699,7187,1
22,Turkana,15000,1298,480606,7194,1
0,Turkana,2000,0,28543943,7511,3
0,Turkana,1200,0,28543936,7275,3
11.33,Turkana,650,90.64,28543950,7199,1
9.33,Turkana,500,111.96,28543967,7177,1
0,Turkana,100,0,28543974,7293,3
0,Turkana,10,0,28543998,7176,3
11.33,Turkana,1000,113.3,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
17.33,Turkana,16000,1334.41,7668335,5070,1
11.33,Turkana,1000,113.3,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
0,Turkana,250,0,5691588,6002,3
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
15.33,Turkana,500,306.6,5691849,6063,1
8,Turkana,1000,80,5691629,7173,1
9.33,Turkana,1000,93.3,5691698,6097,1
12.67,Turkana,1000,126.7,5691540,6016,1
6.67,Turkana,150,100.05,5691760,6074,1
17.33,Turkana,1000,173.3,5691928,7514,1
0,Turkana,10000,0,5691526,6013,3
0,Turkana,7000,0,10388457,7186,3
22.67,Turkana,1000,226.7,10388433,7515,1
22.67,Turkana,1600,317.38,480613,7165,1
8.67,Turkana,1000,86.7,480620,7509,1
8,Turkana,1000,80,480699,7187,1
22,Turkana,15000,1298,480606,7194,1
0,Turkana,2000,0,28543943,7511,3
0,Turkana,1200,0,28543936,7275,3
10.67,Turkana,650,85.36,28543950,7199,1
8,Turkana,500,96,28543967,7177,1
0,Turkana,100,0,28543974,7293,3
0,Turkana,10,0,28543998,7176,3
10.67,Turkana,1000,106.7,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
8,Turkana,16000,616,7668335,5070,1
12.67,Turkana,1000,126.7,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
7.33,Turkana,250,29.32,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
22.67,Turkana,500,453.4,5691849,6063,1
2.67,Turkana,1000,26.7,5691629,7173,1
9.33,Turkana,1000,93.3,5691698,6097,1
12.67,Turkana,1000,126.7,5691540,6016,1
10.67,Turkana,150,160.05,5691760,6074,1
18,Turkana,1000,180,5691928,7514,1
0,Turkana,10000,0,5691526,6013,3
0,Turkana,7000,0,10388457,7186,3
